PROCEDIMENTO,RN(alteração),VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
E ACOMPANHAMENTO CLÍNICO AMBULATORIAL PÓS-TRANSPLANTE RENAL HCO HSO REF AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE HEPÁTICO NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E,,,,,,,,,,Subgrupo,Grupo,Capítulo
DO E HOSPITALARESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,546/2022,03/10/2022,,AMB,HCO,HSO,REF,PAC,,Subgrupo,Grupo,Capítulo
E ACOMPANHAMENTO CLÍNICO DE TRANSPLANTE RENAL NO PERÍODO DE INTERNAÇÃO DO RECEPTOR E DO,,,,,,,,,,Subgrupo,Grupo,Capítulo
DOADORHCO E HOSPITALARESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,AMB,HCO,HSO,REF,PAC,,Subgrupo,Grupo,Capítulo
E AVALIAÇÃO CLÍNICA DIARIA ENTERAL E/OU PARENTERAL HCO HSO REF AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E AVALIAÇÃO CLÍNICA E ELETRÔNICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDÍACO ELETRÔNICO,,,,,,,,,,Subgrupo,Grupo,Capítulo
IMPLANTÁVEL MONITOR DE EVENTOS)AMB HCO HSO REF AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E CARDIOVERSÃO ELÉTRICA COM ELETROCARDIOGRAMA AMB HCO HSO REF AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA) OD AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
FORNECIMENTO,,,,,,,,,,Subgrupo,Grupo,Capítulo
"UROSTOMIA, PROUT)AMB HCO HSO REF AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS",,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
PROFILAXIA: E HOSPITALARESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,OD,AMB,,,,,,Subgrupo,Grupo,Capítulo
E TERAPIA ANTINEOPLÁSICA ORAL PARA TRATAMENTO DO CÂNCER (COM DIRETRIZ DE UTILIZAÇÃO) AMB HCO HSO REF PAC 64 AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E TESTE DE PROVOCAÇÃO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAÇÃO) 536/2022 06/05/2022 AMB HCO HSO REF 152 AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
MEDICAMENTOS TRATAMENTOS ANTINEOPLÁSICOS (COM DIRETRIZ DE UTILIZAÇÃO)AMB REF PAC 54 AVALIAÇÕES/ACOMPANHAMENTOSPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E CARDIOTOCOGRAFIA AMB HCO HSO REF MONITORIZAÇÕESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALÓGICO OU DIGITAL AMB REF MONITORIZAÇÕESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAÇÃO AMB REF 56 MONITORIZAÇÕESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E MONITORIZAÇÃO AMBULATORIAL DA PRESSÃO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZAÇÃO,,,,,,,,,,Subgrupo,Grupo,Capítulo
RESIDENCIAL E HOSPITALARESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,581/2023,,,AMB,,,REF,,,Subgrupo,Grupo,Capítulo
E MONITORIZAÇÃO DA PRESSÃO INTRACRANIANA HCO HSO REF MONITORIZAÇÕESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E MONITORIZAÇÃO HEMODINÂMICA INVASIVA OU NÃO INVASIVA HCO HSO REF MONITORIZAÇÕESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E MONITORIZAÇÃO NEUROFISIOLÓGICA INTRA-OPERATÓRIA HCO HSO REF MONITORIZAÇÕESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E POTENCIAL EVOCADO INTRA-OPERATÓRIO - MONITORIZAÇÃO CIRÚRGICA (PE/IO) HCO HSO REF MONITORIZAÇÕESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E TESTE DE INCLINAÇÃO ORTOSTÁTICA (TILT TEST) - COM DIRETRIZ DE UTILIZAÇÃO AMB HCO HSO REF PAC 67 MONITORIZAÇÕESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E ADAPTAÇÃO E TREINAMENTO DE RECURSOS ÓPTICOS AMB REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E AMPUTAÇÃO (PREPARAÇÃO DO COTO E TREINAMENTO PROTÉTICO) AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E BIOFEEDBACK COM EMG AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E EXERCÍCIOS DE ORTÓPTICA AMB REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E INFILTRAÇÃO DE PONTO GATILHO OU AGULHAMENTO SECO AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REABILITACAO E REEDUCACAO DE SEQÜELAS EM TRAUMATISMOS E POLITRAUMATIZADOS AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
REABILITAÇÃO E HOSPITALARESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,AMB,HCO,HSO,REF,,,Subgrupo,Grupo,Capítulo
E REABILITAÇÃO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUACAÇÃO E REABILITAÇÃO DE QUEIMADOS PARA PREVENÇÃO DE SEQUELAS AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUCAÇÃO E REABILITAÇÃO CARDIOVASCULAR AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUCAÇÃO E REABILITAÇÃO DO SISTEMA LINFÁTICO E/OU VASCULAR PERIFÉRICO AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
REEDUCAÇÃO REUMÁTICOSAMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUCAÇÃO E REABILITAÇÃO NEUROLÓGICA AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUCAÇÃO E REABILITAÇÃO NEURO-MÚSCULO-ESQUELÉTICA AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUCAÇÃO E REABILITAÇÃO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUCAÇÃO E REABILITAÇÃO RESPIRATÓRIA AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
REEDUCAÇÃO ESPECÍFICAS)AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUCAÇÃO E/OU REABILITAÇÃO DE DISTÚRBIOS CRÂNIO-FACIAIS AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REEDUCAÇÃO E/OU REABILITAÇÃO NOS PROCESSOS INFLAMATÓRIOS PÉLVICOS AMB HCO HSO REF REABILITAÇÃOPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E ACTINOTERAPIA AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E APLICAÇÃO DE CARIOSTÁTICO (COM DIRETRIZ DE UTILIZAÇÃO) OD 79 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E APLICAÇÃO DE HIPOSSENSIBILIZANTE AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E APLICAÇÃO DE SELANTE (COM DIRETRIZ DE UTILIZAÇÃO) OD 80 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E APLICAÇÃO TÓPICA DE FLÚOR OD TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E APLICAÇÃO TÓPICA DE VERNIZ FLUORETADO OD TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
BETATERAPIA E HOSPITALARESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,AMB,HCO,HSO,REF,PAC,,Subgrupo,Grupo,Capítulo
E CARDIOVERSÃO QUÍMICA DE ARRITMIA PAROXÍSTA AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E CATETERISMO VESICAL AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E CERUMEN - REMOÇÃO AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E CRIOTERAPIA AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E CURATIVOS EM GERAL COM OU SEM ANESTESIA AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E DILATAÇÃO URETRAL AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E DESSENSIBILIZAÇÃO DENTÁRIA OD TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E ESTIMULAÇÃO ELÉTRICA TRANSCUTÂNEA (COM DIRETRIZ DE UTILIZAÇÃO) AMB HCO HSO REF 24 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E FOTOTERAPIA COM UVA (PUVA) PARA TRATAMENTO DE PSORÍASE OU VITILIGO AMB REF PAC TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E INSTILAÇÃO VESICAL OU URETRAL AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E LESÕES MÚSCULO TENDINOSAS - TRATAMENTO INCRUENTO AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO INESPECÍFICA AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E PLANEJAMENTO TÉCNICO DA IMUNOTERAPIA ALÉRGENO-ESPECÍFICA AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E PRIAPISMO - TRATAMENTO NÃO CIRÚRGICO AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E PULSOTERAPIA AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E OXIGENOTERAPIA HIPERBÁRICA (COM DIRETRIZ DE UTILIZAÇÃO) HCO HSO REF PAC 58 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REDUÇÃO DE LUXAÇÃO DA ATM (COM DIRETRIZ DE UTILIZAÇÃO) OD AMB HCO HSO REF 96 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E REMINERALIZAÇÃO DENTÁRIA OD TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
SESSÃO E HOSPITALARESPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,AMB,,,REF,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
TERAPIA UTILIZAÇÃO)571/2023 10/02/2023 HCO HSO REF PAC 159 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
TERAPIA,,,,,,,,,,Subgrupo,Grupo,Capítulo
DE,581/2023,,,,,,,,,Subgrupo,Grupo,Capítulo
599/202412/07/2023 05/03/2024AMB HCO HSO REF PAC 161 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,599/2024,12/07/2023,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
TERAPIA DE UTILIZAÇÃO)538/2022 22/10/2022 HCO HSO REF PAC 153 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
TERAPIA UTILIZAÇÃO)AMB HCO HSO REF PAC 65 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E,,,,,,,,,,Subgrupo,Grupo,Capítulo
TERAPIA,465/2021,,,,,,,,,Subgrupo,Grupo,Capítulo
624/202401/04/2021 03/02/2025AMB HCO HSO REF 124 TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,624/2024,01/04/2021,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
E TERAPIA INALATÓRIA (NEBULIZAÇÃO) AMB HCO HSO REF TERAPÊUTICAPROCEDIMENTOS CLÍNICOS AMBULATORIAIS,,,,,,,,,,Subgrupo,Grupo,Capítulo
E,,,,AMB,,,,,,Subgrupo,Grupo,Capítulo
